control_unit_id,port_locode,receive_all_pnos
10004,FRALM,False
10004,FRPOV,False
10015,FRSRL,False
10016,FRCR2,False
10016,FRHYR,False
10016,FRLCT,False
10016,FRMRS,False
10016,FRPDB,False
10016,FRPSL,False
10019,MQKF4,False
10039,FRAMA,False
10039,FRCR2,False
10039,FRETB,False
10039,FRLCT,False
10039,FRMRS,False
10039,FRMTU,False
10039,FRPDB,False
10039,FRPSL,False
10039,FRRYR,False
10039,FRXSR,False
10047,YTDZA,False
10047,YTMAM,False
10047,YTSPE,False
10049,FRBES,False
10049,FRCQ2,False
10054,RELPT,False
10057,FRBNV,False
10057,FRGFR,False
10072,FRROS,False
10080,FRBES,False
10080,FRDRZ,False
10080,FRGVC,False
10080,FRHDO,False
10080,FRLRT,False
10080,FRROS,False
10080,FRSQ2,False
10085,FRROS,False
10087,MQFDF,False
10087,MQKF4,False
10093,FRAS3,False
10093,FRCJH,False
10093,FRHID,False
10093,FRLC5,False
10093,FRLPE,False
10093,FRLRH,False
10093,FRLSO,False
10093,FRNOI,False
10093,FRRYN,False
10093,FRXGV,False
10099,FRCAM,False
10099,FRCOC,False
10099,FRGVC,False
10099,FRTBE,False
10108,FRARC,False
10109,FRHID,False
10109,FRPRC,False
10109,FRTBE,False
10112,FRCG2,False
10112,FRQUY,False
10112,FRSML,False
10112,FRSQ2,False
10114,BLGUS,False
10121,FRHON,False
10121,FRLEH,False
10122,FRBOL,False
10122,FRDPE,False
10122,FRFEC,False
10122,FRGCP,False
10122,FRLTR,False
10122,FRVH2,False
10128,FRDKK,False
10137,FRCOC,False
10137,FRGVC,False
10137,FRLZF,False
10142,FRLC5,False
10142,FRLPE,False
10142,FRLRH,False
10142,FRLSO,False
10142,FRNOI,False
10142,FRRYN,False
10155,FR2GX,False
10155,FRBNV,False
10155,FRCER,False
10155,FRF2N,False
10155,FRGFR,False
10155,FRVH2,False
10169,FRPPN,False
10169,GP2P3,False
10169,GPAP3,False
10169,GPDP4,False
10169,GPFP2,False
10169,GPGPI,False
10169,GPKP3,False
10169,GPPTP,False
10169,MQJFI,False
10171,FRAS3,False
10171,FRHID,False
10171,FRLSO,False
10171,FRNOI,False
10171,FRXGV,False
10176,FRCG2,False
10176,FRDNR,False
10176,FRQUY,False
10176,FRSML,False
10176,FRV35,False
10183,REGLB,False
10183,RELEU,False
10183,RELPT,False
10183,REMRE,False
10183,REREU,False
10183,RERSE,False
10183,RERUN,False
10183,REZSE,False
10183,SCPOV,False
10184,FROUI,False
10184,FRRTB,False
10191,FRROS,False
10204,FRCG2,False
10204,FRLQ4,False
10204,FRLQB,False
10204,FRPAI,False
10204,FRPE3,False
10204,FRPGR,False
10204,FRQUY,False
10204,FRSQ2,False
10204,FRTBD,False
10206,FRLGR,False
10206,FRPAF,False
10210,FR2GX,False
10210,FRBNV,False
10210,FRBVM,False
10210,FRCER,False
10210,FRCTA,False
10210,FRDIL,False
10210,FRF2N,False
10210,FRGFR,False
10210,FRLIV,False
10210,FRPBA,False
10210,FRPI2,False
10210,FRSG9,False
10210,FRVH2,False
10219,FRAJA,False
10219,FRCQI,False
10219,FREMR,False
10219,FRHYR,False
10219,FRLCT,False
10219,FRPVO,False
10225,FRARC,False
10225,FRLM6,False
10225,FRLVE,False
10225,FRRYN,False
10225,FRSV5,False
10225,FRVI2,False
10232,YTMAM,False
10233,FRUTE,False
10255,FR2GO,False
10255,FRBG6,False
10255,FRCJH,False
10255,FRLC5,False
10255,FRLPE,False
10255,FRLRH,False
10255,FROUB,False
10255,FRPT4,False
10255,FRRYN,False
10255,FRUCM,False
10264,FRAUD,False
10264,FRAWR,False
10264,FRBES,False
10264,FRCG2,False
