pno_type_id,species,fao_areas,cgpm_areas,gears,flag_states,minimum_quantity_kg
1,"['PZC', 'ALC', 'PHO', 'ANT', 'BSF', 'API', 'ARU', 'ALF', 'TVY', 'CWO', 'CFB', 'CYO', 'CYP', 'KEF', 'CMO', 'HXC', 'RNG', 'SCK', 'DCA', 'EPI', 'ETR', 'ETX', 'SHO', 'GAM', 'BRF', 'SBL', 'ORY', 'HPR', 'CYH', 'SFS', 'LKK', 'RTX', 'RHG', 'BLI', 'RIB', 'NNN', 'OXN', 'SBR', 'WRF', 'RJY', 'RJG', 'JAD', 'GHL', 'RCT', 'SYR', 'SFV', 'GSK', 'NEN', 'TJX']","['27.5.b', '27.6', '27.7', '27.8', '27.9', '27.10', '4.1.1', '34.1.2', '34.2']",[],[],[],0
1,['BSF'],"['27.1', '27.2', '27.4', '27.6', '27.8', '27.10', '27.14', '27.3.a', '27.5.a', '27.5.b', '27.9.a', '27.12.b']",[],[],[],0
1,['RNG'],"['27.6', '27.7', '27.5.b']",[],[],[],0
1,['BSS'],"['27.4.b', '27.4.c', '27.6.a', '27.7.a', '27.7.b', '27.7.d', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.j', '27.8.a', '27.8.b', '27.8.c', '27.9.a']",[],[],[],0
1,['COD'],"['27.7.a', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.i', '27.7.j', '27.7.k']",[],[],[],0
1,['LEZ'],"['27.4.a', '27.6.a', '27.6.b', '27.7.b', '27.7.c', '27.7.d', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.i', '27.7.j', '27.7.k', '27.8.a', '27.8.b', '27.8.c', '27.8.d', '27.9.a']",[],[],[],0
1,"['MNZ', 'ANF']","['27.7.b', '27.7.c', '27.7.d', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.i', '27.7.j', '27.7.k', '27.8.a', '27.8.b', '27.8.c', '27.8.d', '27.9.a']",[],[],[],0
1,['HAD'],"['27.6.b', '27.7.a', '27.7.b', '27.7.c', '27.7.d', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.i', '27.7.j', '27.7.k']",[],[],[],0
1,['WHG'],"['27.7.b', '27.7.c', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.i', '27.7.j', '27.7.k', '27.8', '27.9.a']",[],[],[],0
1,['HKE'],"['27.3.a', '27.4', '27.6', '27.7', '27.8.a', '27.8.b', '27.8.c', '27.8.d', '27.9.a']",[],[],[],0
1,['BLI'],"['27.5.b', '27.6', '27.7']",[],[],[],0
1,['NEP'],"['27.5.b', '27.6', '27.7', '27.8.a', '27.8.b', '27.8.d', '27.8.e', '27.9', '27.10', '34.1.1']",[],[],[],0
1,['SBR'],['27.9'],[],[],[],0
1,['PLE'],"['27.7.d', '27.7.e']",[],[],[],0
1,['SOL'],"['27.5', '27.12', '27.14', '27.6.b', '27.7.d', '27.7.e', '27.7.f', '27.7.g', '27.7.h', '27.7.j', '27.7.k', '27.8.a', '27.8.b', '27.8.c', '27.9.a']",[],[],[],0
1,['POL'],"['27.6', '27.7']",[],[],[],0
1,['COD'],"['27.4', '27.7.d', '27.3.a.20']",[],[],[],0
1,['HAD'],"['27.4', '27.6.a', '27.3.a.20']",[],[],[],0
1,['PLE'],"['27.4', '27.3.a.20']",[],[],[],0
1,['POK'],"['27.4', '27.6', '27.3.a']",[],[],[],0
1,['SOL'],"['27.4', '27.3.a']",[],[],[],0
1,['WHG'],"['27.4', '27.7.d']",[],[],[],0
1,"['MNZ', 'ANF']","['27.3.a', '27.4', '27.6']",[],[],[],0
1,['PRA'],"['27.3.a.20', '27.4.a']",[],[],[],0
1,['NEP'],"['27.4', '27.3.a']",[],[],[],0
1,['ARA'],['37'],"['30.01', '30.05', '30.06', '30.07']",[],[],0
