port_locode,is_active
FRLRH,TRUE
FRBOL,TRUE
FRLRT,TRUE
FRRTB,TRUE
FRAZR,TRUE
FRLSO,TRUE
FRZJZ,TRUE
FRLC5,TRUE
MQFDF,TRUE
FRLEH,TRUE
FRTBE,TRUE
FRS2C,TRUE
FRDPE,TRUE
RELPT,TRUE
FRSML,TRUE
FRSQ2,TRUE
FRROS,TRUE
FRSET,TRUE
FRBCJ,TRUE
FRQUI,TRUE
FRDRZ,TRUE
FRVH2,TRUE
FRGVC,TRUE
FRTJE,TRUE
FRNOU,TRUE
FRAGD,TRUE
GFCAY,TRUE
FRCG2,TRUE
FRHON,TRUE
FRWGE,TRUE
FRARC,TRUE
FROUI,TRUE
FRBES,TRUE
FRCBT,TRUE
FRGFR,TRUE
XXX,TRUE
FROII,TRUE
FRLGR,TRUE
FRRYN,TRUE
FRQUY,TRUE
FRCM6,TRUE
FRCEQ,TRUE
FRYNR,TRUE
FRBNV,TRUE
FRPOV,TRUE
FRCR2,TRUE
FRCER,TRUE
FRGC2,TRUE
FRAUD,TRUE
FRANT,TRUE
FRCOC,TRUE
FRGDC,TRUE
FRCJH,TRUE
FRPDB,TRUE
FRFEC,TRUE
FRLTR,TRUE
FRTLN,TRUE
FRLOC,TRUE
FRMRS,TRUE
FRGN3,TRUE
FRHID,TRUE
FRBIA,TRUE
FRGCP,TRUE
FR2GX,TRUE
FRNCE,TRUE
FRPRC,TRUE
FRUTE,TRUE
FRNBR,TRUE
FRSNR,TRUE
FRHYR,TRUE
FRNOI,TRUE
FRF2N,TRUE
FRVNO,TRUE
FRLPE,TRUE
FRPSL,TRUE
FRAWR,TRUE
FRCM8,TRUE
FRAJA,TRUE
FRPE3,TRUE
FRPBF,TRUE
FRETN,TRUE
FROUB,TRUE
FRJMN,TRUE
FRDIL,TRUE
FRDUT,TRUE
FRMTU,TRUE
FRAS3,TRUE
FRPLO,TRUE
FRPAF,TRUE
REREU,TRUE
FRMSG,TRUE
FRDKK,TRUE
FRZFB,TRUE
FRDSM,TRUE
FRPYO,TRUE
FRCXY,TRUE
FRUCM,TRUE
FRPI2,TRUE
FRFRO,TRUE
FRSRL,TRUE
FRXSR,TRUE
FRLCT,TRUE
FREBQ,TRUE
,TRUE
FRBON,TRUE
FRPAI,TRUE
FRMCC,TRUE
FRBPV,TRUE
FRPGR,TRUE
FRGJE,TRUE
FRCAM,TRUE
FRSOZ,TRUE
FRPBA,TRUE
FRPVO,TRUE
FRCLY,TRUE
FRCM5,TRUE
FRBAY,TRUE
FRGPA,TRUE
FRRZN,TRUE
FRCE9,TRUE
FRRYR,TRUE
FRSTP,TRUE
FRSVS,TRUE
FRXSP,TRUE
FRBVM,TRUE
FRTWA,TRUE
FRPIR,TRUE
FRERQ,TRUE
FRIDY,TRUE
FRBFS,TRUE
GPPTP,TRUE
REZSE,TRUE
FRLP2,TRUE
FRCN5,TRUE
FRTRB,TRUE
FRTVG,TRUE
FRCTA,TRUE
FRADB,TRUE
FRCQK,TRUE
FRFBX,TRUE
FRCQ2,TRUE
FRCIF,TRUE
FRSV3,TRUE
FRPM4,TRUE
FRMGN,TRUE
FRTBD,TRUE
FRSH8,TRUE
FRPA2,TRUE
FRAMA,TRUE
FRLVE,TRUE
FRSV5,TRUE
FRZEU,TRUE
FRPMH,TRUE
FRV35,TRUE
FRLR3,TRUE
FRFAY,TRUE
FRCQF,TRUE
YTDZA,TRUE
FRVFM,TRUE
FROI2,TRUE
FRUYR,TRUE
FRP9S,TRUE
FRRCO,TRUE
FRLM8,TRUE
FRPPL,TRUE
FRSNF,TRUE
FRDGD,TRUE
FRDCC,TRUE
FRPO4,TRUE
FRCG3,TRUE
FRPR6,TRUE
FRSO6,TRUE
FRAOV,TRUE
FRPRP,TRUE
FRAA2,TRUE
FRCFR,TRUE
FRJPL,TRUE
