species_code,species_group_id
PZC,1
ALC,1
PHO,1
ANT,1
BSF,1
API,1
ARU,1
ALF,1
TVY,1
CWO,1
CFB,1
CYO,1
CYP,1
KEF,1
CMO,1
HXC,1
RNG,1
SCK,1
DCA,1
EPI,1
ETR,1
ETX,1
SHO,1
GAM,1
BRF,1
SBL,1
ORY,1
HPR,1
CYH,1
SFS,1
LKK,1
RTX,1
RHG,1
BLI,1
RIB,1
NNN,1
OXN,1
SBR,1
WRF,1
RJY,1
RJG,1
JAD,1
GHL,1
RCT,1
SYR,1
SFV,1
GSK,1
NEN,1
TJX,1
CLX,2
NLX,2
ODQ,2
NOQ,2
NPV,2
NXX,2
NDQ,2
NDL,2
BQB,2
BQU,2
NRQ,2
RQP,2
NDC,2
KFC,2
MCL,2
RKM,2
BQF,2
NJG,2
NDM,2
RKQ,2
NQR,2
NDU,2
NDV,2
DRG,2
NIL,2
FCL,2
FCD,2
BLC,2
DOO,2
FCR,2
FCI,2
BIJ,2
AKQ,2
NDO,2
NQT,2
RAW,2
NDZ,2
NDN,2
FKP,2
NDT,2
NDE,2
DOE,2
RQV,2
RQZ,2
BLS,2
ARK,2
BJX,2
NKX,2
ACB,2
FCE,2
FTX,2
CLQ,2
FGR,2
KDO,2
YKR,2
AKK,2
YKA,2
VKA,2
KDR,2
VKS,2
KCC,2
TKQ,2
FGE,2
TQO,2
KTS,2
TQQ,2
FGD,2
MDQ,2
TIX,2
GKS,2
LVV,2
LVL,2
TQP,2
FVP,2
KTU,2
TIQ,2
YKS,2
AKJ,2
TQR,2
KTT,2
KFX,2
ZCZ,2
KCW,2
KCL,2
COC,2
MDK,2
YNK,2
KTG,2
QRG,2
LVC,2
LVO,2
COZ,2
DKR,2
FVM,2
FVX,2
KZX,2
TDX,2
YKU,2
YWX,2
KBX,2
KTF,2
KDJ,2
YCI,2
KDB,2
KDQ,2
KDT,2
BNG,2
KML,2
KMS,2
KMB,2
KMP,2
CMA,2
CMM,2
CLF,2
YMB,2
YMK,2
YMI,2
YMA,2
YME,2
CMJ,2
YMX,2
BVL,2
YMR,2
YGX,2
YMT,2
VIY,2
UCL,2
IFR,2
IFT,2
IFB,2
GLX,2
DXH,2
DXV,2
DNI,2
DOV,2
DXN,2
DXC,2
DXK,2
IFD,2
DNE,2
DXE,2
DXD,2
DOG,2
DNY,2
DXI,2
DXJ,2
IFV,2
DXX,2
DXA,2
DXT,2
DXF,2
DNT,2
DNS,2
DXQ,2
DXO,2
DXL,2
GKX,2
IFX,2
DON,2
DRP,2
YIH,2
YSQ,2
EGW,2
FIV,2
FIF,2
GKV,2
GQH,2
GCK,2
GKL,2
GCV,2
GKR,2
GKG,2
GKU,2
UCR,2
UCP,2
GCJ,2
GCC,2
GLV,2
GJF,2
GKO,2
GCD,2
YRX,2
YTQ,2
YOH,2
NPQ,2
HXD,2
ZHA,2
GEX,2
JPB,2
PQV,2
GEC,2
IMA,2
IMX,2
IGQ,2
IMR,2
IOJ,2
IGH,2
IMP,2
ELV,2
ERX,2
TNX,2
AVI,2
DSG,2
IMV,2
IML,2
IMT,2
KTR,2
KTX,2
LQI,2
KLX,2
KKI,2
KKP,2
EWQ,2
EWX,2
