id,natinf_code,threat_characterization_id,isr_code
1,2608,1,AUT-030
2,2609,2,AUT-030
3,2610,3,AUT-020
5,27879,5,AUT-010
6,27900,6,PHO-030
7,27898,7,AUT-030
9,12922,9,VES-010
10,27685,9,DUT-040
11,2584,10,DUT-020
12,2604,10,DUT-020
13,4234,10,DUT-020
14,22035,10,DUT-020
17,27714,12,PHO-060
18,27719,14,AUT-999
19,2603,14,AUT-020
20,12912,14,AUT-999
21,22070,14,AUT-020
22,30792,14,AUT-020
23,32099,14,AUT-020
24,10400,15,PHO-090
25,27715,15,PHO-080
27,27721,15,AUT-999
28,2593,16,GEA-020
29,7057,16,GEA-020
30,7059,16,GEA-020
31,7060,16,GEA-020
32,12891,16,GEA-020
33,12898,16,GEA-020
34,12918,16,GEA-020
40,7063,18,CLS-010
41,7064,18,CLS-010
42,28347,18,CLS-999
43,27730,19,PHO-150
44,2600,20,CER-999
45,27729,21,PHO-999
49,27688,23,VAM-010
53,33914,25,PHO-999
56,27717,12,PHO-060
76,27728,37,PHO-020
77,27748,37,PHO-010
78,34314,37,PHO-020
79,27726,38,PHO-040
80,27689,39,REP-180
81,27885,40,REP-999
82,27689,41,REP-180
83,27885,42,REP-999
84,27689,43,REP-180
85,27689,44,REP-180
86,27689,45,REP-180
87,31004,46,PHO-110
88,27689,47,REP-180
89,27885,48,REP-999
90,27689,49,REP-180
91,27689,50,REP-180
92,27885,51,REP-999
93,27689,52,REP-180
94,27885,53,REP-999
95,27689,54,REP-180
96,27885,55,REP-999
97,27689,56,REP-180
100,27885,59,REP-999
101,27689,60,REP-180
102,27885,61,REP-999
103,27712,62,REP-140
104,27689,63,REP-180
105,27885,64,REP-999
106,27885,65,REP-999
107,27689,66,REP-180
121,22070,77,AUT-020
122,29204,78,AUT-030
123,27885,79,REP-999
124,2605,80,DUT-020
125,2606,80,DUT-010
126,34308,81,PHO-120
127,34309,81,PHO-120
128,27886,82,PHO-130
129,27886,83,PHO-130
130,27886,84,PHO-130
131,21326,85,PHO-034
132,2902,86,PHO-131
133,33914,86,PHO-999
134,23555,86,PHO-131
135,27886,86,PHO-130
136,33915,86,PHO-131
137,33915,87,PHO-131
138,7072,88,PHO-030
139,7065,89,PHO-033
140,7075,90,PHO-030
141,7985,91,PHO-032
142,7985,92,PHO-032
143,7066,93,CLS-999
144,7984,94,REP-072
145,28346,94,PHO-021
146,12902,94,CER-010
147,7986,95,PHO-021
148,27688,96,VAM-010
149,27718,97,PHO-090
150,7059,98,GEA-020
151,7059,99,GEA-020
152,27724,100,GEA-030
153,27724,101,GEA-030
154,27725,101,GEA-030
155,27724,102,GEA-030
156,27724,103,GEA-030
157,27725,102,GEA-030
158,27725,103,GEA-030
159,27731,104,VES-060
160,27731,105,VES-060
161,27731,106,VES-060
162,27731,107,VES-060
163,7983,108,REP-072
164,7984,108,REP-072
165,28346,108,PHO-021
166,12900,108,CER-010
167,12902,108,CER-010
168,28348,109,CER-999
169,27688,110,VAM-010
170,27688,111,VAM-010
171,7060,112,GEA-020
172,7062,112,CLS-023
173,2596,113,CLS-022
174,7061,113,CLS-010
175,27686,113,CLS-021
176,27687,113,CLS-021
177,32071,113,CLS-010
178,22806,114,AUT-020
179,27679,115,AUT-020
180,27698,116,GEA-020
181,27699,117,GEA-020
182,27701,118,PHO-030
183,27702,119,GEA-020
184,22807,120,AUT-020
185,22808,121,AUT-020
186,27695,122,CLS-022
187,27696,123,CLS-023
188,27727,124,PHO-070
189,30835,125,REP-160
190,27885,126,REP-999
191,27693,127,AUT-999
192,32326,128,AUT-999
193,32327,129,AUT-999
194,22205,130,AUT-999
195,22182,131,AUT-999
196,30028,132,AUT-080
197,30029,133,AUT-999
198,31122,134,AUT-080
199,31123,135,AUT-080
200,30032,136,AUT-999
201,30034,137,AUT-999
202,4485,137,AUT-999
203,4450,137,AUT-080
204,31116,138,AUT-999
205,4444,139,
206,1508,140,AUT-070
207,3968,140,AUT-070
208,1509,140,AUT-070
209,4454,141,AUT-999
210,4488,141,AUT-999
211,4763,142,AUT-999
212,4771,142,AUT-999
213,4774,142,AUT-999
214,4777,142,AUT-999
215,4478,142,AUT-999
216,4779,143,AUT-999
217,4780,143,AUT-999
218,4781,144,AUT-999
219,3925,145,AUT-999
220,4782,146,AUT-999
221,6032,143,AUT-999
222,4306,143,AUT-999
223,4470,143,AUT-999
224,4471,143,AUT-999
225,4761,147,AUT-999
